url,date,content,id,username,outlinks,outlinksss,tcooutlinks,tcooutlinksss
https://twitter.com/teras_medianet/status/1609168703853309952,2022-12-31 12:44:50+00:00,Ini Bahaya Dietilen Glikol dan Etilen Glikol pada Obat Sirup https://t.co/33woB0K58h,1609168703853309952,teras_medianet,['https://terasmedia.net/ini-bahaya-dietilen-glikol-dan-etilen-glikol-pada-obat-sirup/'],https://terasmedia.net/ini-bahaya-dietilen-glikol-dan-etilen-glikol-pada-obat-sirup/,['https://t.co/33woB0K58h'],https://t.co/33woB0K58h
https://twitter.com/okezonenews/status/1608795047310528513,2022-12-30 12:00:03+00:00,"Uzbekistan Konfirmasi 18 Anak Meninggal Usai Minum Obat Batuk Sirup Asal India, Mengandung Zat Beracun Etilen Glikol #LengkapCepatBeritanya #BeritaTerkini #International #BeritaInternasional . https://t.co/a99BdjYkVG",1608795047310528513,okezonenews,['https://news.okezone.com/read/2022/12/30/18/2736962/uzbekistan-konfirmasi-18-anak-meninggal-usai-minum-obat-batuk-sirup-asal-india-mengandung-zat-beracun-etilen-glikol'],https://news.okezone.com/read/2022/12/30/18/2736962/uzbekistan-konfirmasi-18-anak-meninggal-usai-minum-obat-batuk-sirup-asal-india-mengandung-zat-beracun-etilen-glikol,['https://t.co/a99BdjYkVG'],https://t.co/a99BdjYkVG
https://twitter.com/detikcom/status/1608792475983822850,2022-12-30 11:49:50+00:00,BPOM menambah daftar 176 obat sirup dari 49 industri farmasi yang bebas cemaran etilen glikol dan dietilen glikol (EG-DEG). Berikut adalah daftar obatnya...  https://t.co/JBiuz5t1Xi,1608792475983822850,detikcom,['https://20.detik.com/detikupdate/20221230-221230096/daftar-176-obat-sirup-tambahan-yang-bebas-eg-deg?utm_content=20detik&utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=Twitter#Echobox=1672389732-1'],https://20.detik.com/detikupdate/20221230-221230096/daftar-176-obat-sirup-tambahan-yang-bebas-eg-deg?utm_content=20detik&utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=Twitter#Echobox=1672389732-1,['https://t.co/JBiuz5t1Xi'],https://t.co/JBiuz5t1Xi
https://twitter.com/detikHealth/status/1608792193048756230,2022-12-30 11:48:43+00:00,BPOM menambah daftar 176 obat sirup dari 49 industri farmasi yang bebas cemaran etilen glikol dan dietilen glikol (EG-DEG). Berikut adalah daftar obatnya...  https://t.co/tPK9M2LXpu,1608792193048756230,detikHealth,['https://20.detik.com/detikupdate/20221230-221230096/daftar-176-obat-sirup-tambahan-yang-bebas-eg-deg?utm_content=20detik&utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=Twitter#Echobox=1672389732-3'],https://20.detik.com/detikupdate/20221230-221230096/daftar-176-obat-sirup-tambahan-yang-bebas-eg-deg?utm_content=20detik&utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=Twitter#Echobox=1672389732-3,['https://t.co/tPK9M2LXpu'],https://t.co/tPK9M2LXpu
https://twitter.com/detikHealth/status/1608768514462027776,2022-12-30 10:14:37+00:00,BPOM menambah daftar 176 obat sirup dari 49 industri farmasi yang bebas cemaran etilen glikol dan dietilen glikol (EG-DEG). Berikut adalah daftar obatnya... https://t.co/uv7OYunAQN,1608768514462027776,detikHealth,[],,[],
https://twitter.com/Himafrma_Avicna/status/1608651565782683655,2022-12-30 02:29:55+00:00,"Oleh karena itu, diharapkan kepada seluruh masyarakat untuk tidak memberikan obat sirup pada anak tanpa konsultasi dengan tenaga kesehatan karena dugaan cemaran etilen glikol dan dietilen glikol (DEG) yang menyebabkan gagal ginjal akut.",1608651565782683655,Himafrma_Avicna,[],,[],
https://twitter.com/mediaindonesia/status/1608402452503560192,2022-12-29 10:00:02+00:00,"Obat itu dipasarkan di situs web perusahaan sebagai pengobatan untuk gejala pilek dan flu. Satu batch sirup mengandung etilen glikol yang merupakan zat beracun.#mediaindonesia
#referensibangsa

Sumber: https://t.co/lMGbX0vzky",1608402452503560192,mediaindonesia,['https://mediaindonesia.com/internasional/547614/obat-sirop-buatan-india-tewaskan-18-anak-uzbekistan'],https://mediaindonesia.com/internasional/547614/obat-sirop-buatan-india-tewaskan-18-anak-uzbekistan,['https://t.co/lMGbX0vzky'],https://t.co/lMGbX0vzky
https://twitter.com/ParfumPriaMurah/status/1608373150571720704,2022-12-29 08:03:35+00:00,900 Ribu Obat Sirup Mengandung Cemaran Etilen Glikol Merk Unibebi Dimusnahkan di Medan https://t.co/wfjeJqCmYc https://t.co/ctBPjkRAVi,1608373150571720704,ParfumPriaMurah,['http://dlvr.it/Sg520K'],http://dlvr.it/Sg520K,['https://t.co/wfjeJqCmYc'],https://t.co/wfjeJqCmYc
https://twitter.com/ObatJerawatHerb/status/1608373144745828352,2022-12-29 08:03:34+00:00,900 Ribu Obat Sirup Mengandung Cemaran Etilen Glikol Merk Unibebi Dimusnahkan di Medan https://t.co/7XRCESlHSk,1608373144745828352,ObatJerawatHerb,['http://dlvr.it/Sg51zz'],http://dlvr.it/Sg51zz,['https://t.co/7XRCESlHSk'],https://t.co/7XRCESlHSk
https://twitter.com/hargapabrik_id/status/1607644042824912903,2022-12-27 07:46:23+00:00,"Ini Dia 3 Tahap Gelaja Efek Samping Etilen Glikol Pada Obat Sirup, klik link berikut
https://t.co/7x55UW23Ao https://t.co/OsTu7xzJhu",1607644042824912903,hargapabrik_id,['https://hargapabrik.id/artikel/detail/1189/3-tahap-gelaja-efek-samping-etilen-glikol-pada-obat-sirup/1'],https://hargapabrik.id/artikel/detail/1189/3-tahap-gelaja-efek-samping-etilen-glikol-pada-obat-sirup/1,['https://t.co/7x55UW23Ao'],https://t.co/7x55UW23Ao
